"Plot1"
"Time (sec)","Linear Displacement1 (meter)"
0,-0.431601105241046
0.0399006622516556,-0.422123351954598
0.0798013245033113,-0.412531480921395
0.119701986754967,-0.402830627051991
0.159602649006623,-0.393027731758393
0.199503311258278,-0.383117908123047
0.239403973509934,-0.373100206073867
0.279304635761589,-0.362985215903159
0.319205298013245,-0.352767183348753
0.359105960264901,-0.34246509725854
0.399006622516556,-0.332065820232515
0.438907284768212,-0.321597758300514
0.478807947019867,-0.311052191527945
0.518708609271523,-0.300411752242645
0.558609271523179,-0.289715276678694
0.598509933774834,-0.278973823566358
0.63841059602649,-0.26820036387842
0.678311258278146,-0.257399431404001
0.718211920529801,-0.246589065052887
0.758112582781457,-0.235786561003936
0.798013245033113,-0.225028487015171
0.837913907284768,-0.214304559356991
0.877814569536424,-0.203613500757329
0.91771523178808,-0.193007903089343
0.957615894039735,-0.1824996367946
0.997516556291391,-0.172113517997044
1.03741721854305,-0.161867561119869
1.0773178807947,-0.151800295703555
1.11721854304636,-0.141906495703739
1.15711920529801,-0.132238384285194
1.19701986754967,-0.122816734281672
1.23692052980132,-0.113669801394805
1.27682119205298,-0.104835156848093
1.31672185430464,-0.0963603998639362
1.35662251655629,-0.0882424200449909
1.39652317880795,-0.0805456020309389
1.4364238410596,-0.0733081049449473
1.47632450331126,-0.0665728992641002
1.51622516556291,-0.0603661660559918
1.55612582781457,-0.0547434413532138
1.59602649006622,-0.0497598185237261
1.63592715231788,-0.0454608945869361
1.67582781456954,-0.0419044335473062
1.71572847682119,-0.0391457078097846
1.75562913907285,-0.0372403305201817
1.7955298013245,-0.0362574806379753
1.83543046357616,-0.0362604911811518
1.87533112582781,-0.0373171843831132
1.91523178807947,-0.0394970230085666
1.95513245033112,-0.0428675963754138
1.99503311258278,-0.047500016274107
2.03493377483444,-0.0534711736403814
2.07483443708609,-0.0608364909973116
2.11473509933775,-0.0696666201436399
2.1546357615894,-0.0800153903988345
2.19453642384106,-0.0919094655172887
2.23443708609271,-0.105379824266921
2.27433774834437,-0.120426806103922
2.31423841059602,-0.13700784128821
2.35413907284768,-0.155058023653327
2.39403973509934,-0.174455280731051
2.43394039735099,-0.195037047833166
2.47384105960265,-0.216543582826623
2.5137417218543,-0.238685334279066
2.55364238410596,-0.26106529989692
2.59354304635761,-0.283278989397722
2.63344370860927,-0.304857569635364
2.67334437086092,-0.32544014580136
2.71324503311258,-0.344826110495178
2.75314569536424,-0.363142042052817
2.79304635761589,-0.381005884603489
2.83294701986755,-0.399458590457871
2.8728476821192,-0.419460659855153
2.91274834437086,-0.44147384530396
2.95264900662251,-0.46517475528719
2.99254966887417,-0.489731656523039
3.03245033112582,-0.514254294101289
3.07235099337748,-0.538045619526297
3.11225165562914,-0.560640319948172
3.15215231788079,-0.581803963943273
3.19205298013245,-0.601413673725955
3.2319536423841,-0.61941145453751
3.27185430463576,-0.635786688897326
3.31175496688741,-0.650517035196451
3.35165562913907,-0.663608062890501
3.39155629139072,-0.675107882936549
3.43145695364238,-0.685026709779321
3.47135761589404,-0.693434888922322
3.51125827814569,-0.700374368396169
3.55115894039735,-0.705904556179064
3.591059602649,-0.710087702013154
3.63096026490066,-0.712989327077132
3.67086092715231,-0.714675746488574
3.71076158940397,-0.71521546183339
3.75066225165562,-0.714675685488683
3.79056291390728,-0.713123742066802
3.83046357615894,-0.710624986358286
3.87036423841059,-0.707243146855865
3.91026490066225,-0.703036194684311
3.9501655629139,-0.69806727600648
3.99006622516556,-0.692390021189228
4.02996688741721,-0.686057783306403
4.06986754966887,-0.679120864432069
4.10976821192053,-0.671626750217974
4.14966887417218,-0.663620307806079
4.18956953642384,-0.655151000070164
4.22947019867549,-0.646239432957869
4.26937086092715,-0.636933490897202
4.3092715231788,-0.627266885204256
4.34917218543046,-0.617273648057902
4.38907284768211,-0.606967250490862
4.42897350993377,-0.596386901027935
4.46887417218543,-0.585551646648964
